,0,1
0,CIP52BACHL,0.2519372684019757
1,CIP52ASSOC,0.19712060113518962
2,CIP51ASSOC,0.038323789207696385
3,CIP51CERT2,0.028525417361455342
4,CIP12CERT2,0.024960385807223234
5,CIP24ASSOC,0.019164467404916716
6,CIP24ASSOC,0.01850021166289541
7,CIP24ASSOC,0.015608411177754066
8,CIP51BACHL,0.014434104002041887
9,CIP39BACHL,0.01270725917042666
10,CIP51BACHL,0.011024132774322532
11,CIP52CERT2,0.010238354205210742
12,CIP39BACHL,0.009762717706740361
13,CIP19CERT2,0.009120360981237028
14,CIP15BACHL,0.008680531801811213
15,CIP52ASSOC,0.007850553544653265
16,CIP24BACHL,0.007711489225710984
17,CIP43BACHL,0.007587772983344802
18,CIP24BACHL,0.007318385145676699
19,CIP24BACHL,0.006969537916439519
20,CIP51CERT1,0.006742034842828051
21,CIP51CERT1,0.00662594471118892
22,CIP51ASSOC,0.006234701225325486
23,CIP44BACHL,0.006126927405409749
24,CIP01ASSOC,0.00599154713985386
25,CIP52ASSOC,0.005637148194526712
26,CIP19CERT1,0.005499091450573826
27,CIP51ASSOC,0.005263422173435946
28,CIP30BACHL,0.005212521736143932
29,CIP43CERT1,0.005084861089741182
30,CIP30BACHL,0.005018506482518605
31,CIP44BACHL,0.004859413931186656
32,CIP52CERT1,0.004784649243550924
33,CIP03BACHL,0.004659616436346276
34,CIP22BACHL,0.004387532911981528
35,CIP43CERT1,0.0043028926922319445
36,CIP13CERT1,0.0042868545787037434
37,CIP13BACHL,0.004169490865496516
38,CIP24CERT2,0.004097114168226836
39,CIP43CERT1,0.004064228935950954
40,CIP47CERT2,0.0039679893278650276
41,CIP31BACHL,0.003909057880961589
42,CIP43ASSOC,0.003867312221317776
43,CIP10ASSOC,0.0037771403842253816
44,CIP12ASSOC,0.003710451753101192
45,CIP42BACHL,0.0036564770374815747
46,CIP03BACHL,0.0035901068572300756
47,CIP24CERT2,0.003473474363134887
48,CIP48CERT2,0.00341532624708562
49,CIP03BACHL,0.0033923525667804016
50,CIP14BACHL,0.0033050509243732666
51,CIP14BACHL,0.0032038863373619678
52,CIP09BACHL,0.0031607985100235913
53,CIP13CERT2,0.0030862786581219433
54,PCIP51,0.0030633467349893313
55,CIP24CERT2,0.002976494837285865
56,CIP49CERT1,0.002877953296955916
57,CIP51CERT4,0.0028416159855610356
58,CIP38BACHL,0.0027752867783985636
59,CIP05BACHL,0.0027540626174936507
60,CIP50CERT1,0.0027168363972388094
61,CIP22CERT1,0.0026633117459585434
62,CIP19CERT1,0.002584839140621348
63,CIP03ASSOC,0.002553013294013672
64,CIP50CERT2,0.002518691230056345
65,CIP15CERT1,0.0024818699393852287
66,CIP38BACHL,0.00246336111129198
67,CIP22CERT2,0.0024066214434737138
68,CIP22CERT2,0.0023041278381117658
69,CIP12CERT4,0.002271926086315559
70,CIP09ASSOC,0.002252403567185525
71,CIP41ASSOC,0.002194858252554356
72,CIP39ASSOC,0.002138847422055966
73,CIP01BACHL,0.0021278465177801977
74,CIP50CERT1,0.0020858718958730368
75,CIP16BACHL,0.002034708538032494
76,CIP01BACHL,0.001989665628424594
77,CIP41ASSOC,0.001954726500158529
78,CIP44CERT1,0.0019138983897400207
79,CIP16CERT1,0.001886273425212599
80,CIP44CERT1,0.0018643789087958499
81,CIP46CERT2,0.0018213931143155897
82,CIP16BACHL,0.0017855703559667912
83,CIP01CERT1,0.001747635271955751
84,CIP51CERT4,0.0017386742280521845
85,CIP47CERT1,0.0017115547395505862
86,CIP45CERT1,0.0016793491924183533
87,CIP10BACHL,0.0016268614425684657
88,CIP24CERT1,0.0015813901790114658
89,CIP10CERT2,0.001556215358747332
90,CIP10BACHL,0.001538932248447202
91,CIP48CERT1,0.0015003927263467203
92,CIP47ASSOC,0.0014801994740761802
93,CIP04BACHL,0.0014606755558704296
94,CIP16CERT1,0.0014452507862497345
95,CIP42ASSOC,0.0014057694066318877
96,CIP01CERT2,0.0013647390070712063
97,CIP23ASSOC,0.0013476474630469966
98,CIP04BACHL,0.0013443090206778899
99,CIP38ASSOC,0.001297942104129434
100,PCIP12,0.0012639560447637403
101,CIP26BACHL,0.0012421943865765011
102,CIP44CERT2,0.0012280063773492582
103,CIP39CERT2,0.0012114049629633364
104,CIP39CERT2,0.0011885648381735761
105,CIP10CERT1,0.0011639110351188207
106,CIP44CERT2,0.001142313497941148
107,CIP49BACHL,0.0011171323499580754
108,CIP49BACHL,0.0010706232635565682
109,CIP05ASSOC,0.0010633665301068595
110,CIP14CERT1,0.0010402804592860354
111,CIP25ASSOC,0.0010305451334122599
112,CIP31CERT2,0.0010161391879375417
113,CIP39CERT1,0.0009948715741502092
114,CIP05ASSOC,0.0009501901699427839
115,CIP39CERT1,0.0009195908303570567
116,CIP40BACHL,0.0008937368551336672
117,CIP05CERT1,0.0008704296614322044
118,CIP27BACHL,0.0008543296120428055
119,CIP23BACHL,0.000827091608335041
120,CIP04ASSOC,0.000820789873561312
121,PCIP50,0.0007888857357282202
122,CIP27ASSOC,0.0007712669783763906
123,CIP30CERT2,0.0007551278216494884
124,CIP27ASSOC,0.0007251140647150421
125,CIP49CERT2,0.0007209281987238666
126,CIP27ASSOC,0.0007098696927682435
127,PCIP24,0.0006969846927804777
128,CIP16CERT2,0.0006623331300125593
129,CIP41CERT1,0.0006400662820650675
130,PCIP52,0.0006309984105447654
131,CIP12BACHL,0.00060478002612748
132,CIP12BACHL,0.0005823079401879806
133,CIP42CERT1,0.0005770410110624406
134,CIP41BACHL,0.000538927538639481
