dup_var_name,Type,dev-cat,CIP_code,VALUE,LABEL,developer-friendly name
LOCALE,factor,school,NA,32,Town: Distant (in urban cluster more than 10 miles and up to 35 miles from an urbanized area),NA
LOCALE,factor,school,NA,33,Town: Remote (in urban cluster more than 35 miles from an urbanized area),NA
LOCALE,factor,school,NA,41,Rural: Fringe (rural territory up to 5 miles from an urbanized area or up to 2.5 miles from an urban cluster),NA
LOCALE,factor,school,NA,42,Rural: Distant (rural territory more than 5 miles but up to 25 miles from an urbanized area or more than 2.5 and up to 10 miles from an urban cluster),NA
LOCALE,factor,school,NA,43,Rural: Remote (rural territory more than 25 miles from an urbanized area and more than 10 miles from an urban cluster),NA
LOCALE,factor,school,NA,2,"Mid-Size City (a central city of a CMSA or MSA, with the city having a population less than 250,000)",NA
LOCALE,factor,school,NA,3,Urban Fringe of a Large City (any territory within a CMSA or MSA of a Large City and defined as urban by the Census Bureau),NA
LOCALE,factor,school,NA,4,Urban Fringe of a Mid-Size City (any territory within a CMSA or MSA of a Mid-Size City and defined as urban by the Census Bureau),NA
LOCALE,factor,school,NA,5,"Large Town (an incorporated place or Census-designated place with a population greater than or equal to 25,000 and located outside a CMSA or MSA)",NA
LOCALE,factor,school,NA,6,"Small Town (an incorporated place or Census-designated place with a population less than 25,000 and greater than or equal to 2,500 and located outside a CMSA or MSA)",NA
LOCALE,factor,school,NA,7,"Rural, Outside MSA (any territory designated as rural by the Census Bureau that is outside a CMSA or MSA of a Large or Mid-Size City)",NA
LOCALE,factor,school,NA,8,"Rural, Inside MSA (any territory designated as rural by the Census Bureau that is within a CMSA or MSA of a Large or Mid-Size City)",NA
LATITUDE,num,root,NA,NA,NA,location.lat
LONGITUDE,num,root,NA,NA,NA,location.lon
CCBASIC,factor,school,NA,-2,Not applicable,carnegie_basic
CCBASIC,factor,school,NA,0,(Not classified),NA
CCBASIC,factor,school,NA,1,Associate's Colleges: High Transfer-High Traditional,NA
CCBASIC,factor,school,NA,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,NA
CCBASIC,factor,school,NA,3,Associate's Colleges: High Transfer-High Nontraditional,NA
CCBASIC,factor,school,NA,4,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,NA
CCBASIC,factor,school,NA,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,NA
CCBASIC,factor,school,NA,6,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,NA
CCBASIC,factor,school,NA,7,Associate's Colleges: High Career & Technical-High Traditional,NA
CCBASIC,factor,school,NA,8,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,NA
CCBASIC,factor,school,NA,9,Associate's Colleges: High Career & Technical-High Nontraditional,NA
CCBASIC,factor,school,NA,10,Special Focus Two-Year: Health Professions,NA
CCBASIC,factor,school,NA,11,Special Focus Two-Year: Technical Professions,NA
CCBASIC,factor,school,NA,12,Special Focus Two-Year: Arts & Design,NA
CCBASIC,factor,school,NA,13,Special Focus Two-Year: Other Fields,NA
CCBASIC,factor,school,NA,14,Baccalaureate/Associate's Colleges: Associate's Dominant,NA
CCBASIC,factor,school,NA,15,Doctoral Universities: Very High Research Activity,NA
CCBASIC,factor,school,NA,16,Doctoral Universities: High Research Activity,NA
CCBASIC,factor,school,NA,17,Doctoral/Professional Universities,NA
CCBASIC,factor,school,NA,18,Master's Colleges & Universities: Larger Programs,NA
CCBASIC,factor,school,NA,19,Master's Colleges & Universities: Medium Programs,NA
CCBASIC,factor,school,NA,20,Master's Colleges & Universities: Small Programs,NA
CCBASIC,factor,school,NA,21,Baccalaureate Colleges: Arts & Sciences Focus,NA
CCBASIC,factor,school,NA,22,Baccalaureate Colleges: Diverse Fields,NA
CCBASIC,factor,school,NA,23,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,NA
CCBASIC,factor,school,NA,24,Special Focus Four-Year: Faith-Related Institutions,NA
