MDN_EST_TOTAL_HI_INC_DEBT,MDN_EST_TOTAL_HI_INC_DEBT = HI_INC_DEBT_MDN * HI_INC_DEBT_N
MDN_EST_TOTAL_IND_DEBT,MDN_EST_TOTAL_IND_DEBT = IND_DEBT_MDN * IND_DEBT_N
MDN_EST_TOTAL_LO_INC_DEBT,MDN_EST_TOTAL_LO_INC_DEBT = LO_INC_DEBT_MDN * LO_INC_DEBT_N
MDN_EST_TOTAL_MALE_DEBT,MDN_EST_TOTAL_MALE_DEBT = MALE_DEBT_MDN * MALE_DEBT_N
MDN_EST_TOTAL_MD_INC_DEBT,MDN_EST_TOTAL_MD_INC_DEBT = MD_INC_DEBT_MDN * MD_INC_DEBT_N
MDN_EST_TOTAL_NOPELL_DEBT,MDN_EST_TOTAL_NOPELL_DEBT = NOPELL_DEBT_MDN * NOPELL_DEBT_N
MDN_EST_TOTAL_NOTFIRSTGEN_DEBT,MDN_EST_TOTAL_NOTFIRSTGEN_DEBT = NOTFIRSTGEN_DEBT_MDN * NOTFIRSTGEN_DEBT_N
MDN_EST_TOTAL_PELL_DEBT,MDN_EST_TOTAL_PELL_DEBT = PELL_DEBT_MDN * PELL_DEBT_N
MDN_EST_TOTAL_PLUS_DEBT_INST,MDN_EST_TOTAL_PLUS_DEBT_INST = PLUS_DEBT_INST_MD * PLUS_DEBT_INST_N
MDN_EST_TOTAL_WDRAW_DEBT,MDN_EST_TOTAL_WDRAW_DEBT = WDRAW_DEBT_MDN * WDRAW_DEBT_N
NUM_ALL_UNDERGRADS_DFLT_in2yr,NUM_ALL_UNDERGRADS_DFLT_in2yr = BBRR2_FED_UG_DFLT * BBRR2_FED_UG_N
NUM_ALL_UNDERGRADS_DFR_in2yr,NUM_ALL_UNDERGRADS_DFR_in2yr = BBRR2_FED_UG_DFR * BBRR2_FED_UG_N
NUM_ALL_UNDERGRADS_FBR_in2yr,NUM_ALL_UNDERGRADS_FBR_in2yr = BBRR2_FED_UG_FBR * BBRR2_FED_UG_N
NUM_ALL_UNDERGRADS_MAKEPROG_in2yr,NUM_ALL_UNDERGRADS_MAKEPROG_in2yr = BBRR2_FED_UG_MAKEPROG * BBRR2_FED_UG_N
NUM_ALL_UNDERGRADS_NOPROG_in2yr,NUM_ALL_UNDERGRADS_NOPROG_in2yr = BBRR2_FED_UG_NOPROG * BBRR2_FED_UG_N
