Variable,n,nmiss,n_pct,nmiss_pct,Type,dev_cat,Definition
COSTT4_P,2138,3741,0.36366729035550266,0.6363327096444974,integer,cost,Average cost of attendance (program-year institutions)
TUITIONFEE_IN,3452,2427,0.5871746895730566,0.41282531042694337,integer,cost,In-state tuition and fees
TUITIONFEE_OUT,3452,2427,0.5871746895730566,0.41282531042694337,integer,cost,Out-of-state tuition and fees
TUITIONFEE_PROG,2238,3641,0.3806769858819527,0.6193230141180472,integer,cost,Tuition and fees for program-year institutions
TUITFTE,5869,10,0.998299030447355,0.001700969552645,integer,school,Net tuition revenue per full-time equivalent student
INEXPFTE,5869,10,0.998299030447355,0.001700969552645,integer,school,Instructional expenditures per full-time equivalent student
AVGFACSAL,3674,2205,0.6249362136417758,0.3750637863582242,integer,school,Average faculty salary
PFTFAC,3331,2548,0.566592957986052,0.433407042013948,num,school,Proportion of faculty that is full-time
PCTPELL,5879,0,1,0,num,aid,Percentage of undergraduates who receive a Pell Grant
PFTFTUG1_EF,5561,318,0.9459091682258888,0.05409083177411124,num,student,"Share of entering undergraduate students who are first-time, full-time degree-/certificate-seeking undergraduate students"
PCTFLOAN,5879,0,1,0,num,aid,Percent of all undergraduate students receiving a federal student loan
CDR3,5093,786,0.8663037931621024,0.1336962068378976,num,repayment,Three-year cohort default rate
DEBT_MDN,5202,677,0.884844361285933,0.11515563871406702,num,aid,The median original amount of the loan principal upon entering repayment
GRAD_DEBT_MDN,4786,1093,0.8140840278959006,0.18591597210409933,num,aid,The median debt for students who have completed
WDRAW_DEBT_MDN,4637,1242,0.78873958156149,0.21126041843850996,num,aid,The median debt for students who have not completed
LO_INC_DEBT_MDN,4705,1174,0.800306174519476,0.1996938254805239,num,aid,"The median debt for students with family income between $0-$30,000"
MD_INC_DEBT_MDN,3991,1888,0.6788569484606225,0.32114305153937744,num,aid,"The median debt for students with family income between $30,001-$75,000"
HI_INC_DEBT_MDN,3985,1894,0.6778363667290356,0.3221636332709644,num,aid,"The median debt for students with family income $75,001+"
DEP_DEBT_MDN,4539,1340,0.772070079945569,0.22792992005443105,num,aid,The median debt for dependent students
IND_DEBT_MDN,4539,1340,0.772070079945569,0.22792992005443105,num,aid,The median debt for independent students
PELL_DEBT_MDN,4360,1519,0.7416227249532233,0.25837727504677666,num,aid,The median debt for Pell students
NOPELL_DEBT_MDN,4360,1519,0.7416227249532233,0.25837727504677666,num,aid,The median debt for no-Pell students
FEMALE_DEBT_MDN,4110,1769,0.6990984861370981,0.30090151386290187,num,aid,The median debt for female students
MALE_DEBT_MDN,4110,1769,0.6990984861370981,0.30090151386290187,num,aid,The median debt for male students
FIRSTGEN_DEBT_MDN,4238,1641,0.7208708964109543,0.27912910358904575,num,aid,The median debt for first-generation students
