i,dup_var_name,Variable,Type,dev-cat,CIP_code,VALUE,LABEL,developer-friendly name
113,LOCALE,,factor,school,NA,5,"Large Town (an incorporated place or Census-designated place with a population greater than or equal to 25,000 and located outside a CMSA or MSA)",NA
114,LOCALE,,factor,school,NA,6,"Small Town (an incorporated place or Census-designated place with a population less than 25,000 and greater than or equal to 2,500 and located outside a CMSA or MSA)",NA
115,LOCALE,,factor,school,NA,7,"Rural, Outside MSA (any territory designated as rural by the Census Bureau that is outside a CMSA or MSA of a Large or Mid-Size City)",NA
116,LOCALE,,factor,school,NA,8,"Rural, Inside MSA (any territory designated as rural by the Census Bureau that is within a CMSA or MSA of a Large or Mid-Size City)",NA
117,LATITUDE,LATITUDE,num,root,NA,NA,NA,location.lat
118,LONGITUDE,LONGITUDE,num,root,NA,NA,NA,location.lon
119,CCBASIC,CCBASIC,factor,school,NA,-2,Not applicable,carnegie_basic
120,CCBASIC,,factor,school,NA,0,(Not classified),NA
121,CCBASIC,,factor,school,NA,1,Associate's Colleges: High Transfer-High Traditional,NA
122,CCBASIC,,factor,school,NA,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,NA
123,CCBASIC,,factor,school,NA,3,Associate's Colleges: High Transfer-High Nontraditional,NA
124,CCBASIC,,factor,school,NA,4,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,NA
125,CCBASIC,,factor,school,NA,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,NA
126,CCBASIC,,factor,school,NA,6,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,NA
127,CCBASIC,,factor,school,NA,7,Associate's Colleges: High Career & Technical-High Traditional,NA
128,CCBASIC,,factor,school,NA,8,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,NA
129,CCBASIC,,factor,school,NA,9,Associate's Colleges: High Career & Technical-High Nontraditional,NA
130,CCBASIC,,factor,school,NA,10,Special Focus Two-Year: Health Professions,NA
131,CCBASIC,,factor,school,NA,11,Special Focus Two-Year: Technical Professions,NA
132,CCBASIC,,factor,school,NA,12,Special Focus Two-Year: Arts & Design,NA
133,CCBASIC,,factor,school,NA,13,Special Focus Two-Year: Other Fields,NA
134,CCBASIC,,factor,school,NA,14,Baccalaureate/Associate's Colleges: Associate's Dominant,NA
135,CCBASIC,,factor,school,NA,15,Doctoral Universities: Very High Research Activity,NA
136,CCBASIC,,factor,school,NA,16,Doctoral Universities: High Research Activity,NA
137,CCBASIC,,factor,school,NA,17,Doctoral/Professional Universities,NA
138,CCBASIC,,factor,school,NA,18,Master's Colleges & Universities: Larger Programs,NA
139,CCBASIC,,factor,school,NA,19,Master's Colleges & Universities: Medium Programs,NA
140,CCBASIC,,factor,school,NA,20,Master's Colleges & Universities: Small Programs,NA
141,CCBASIC,,factor,school,NA,21,Baccalaureate Colleges: Arts & Sciences Focus,NA
142,CCBASIC,,factor,school,NA,22,Baccalaureate Colleges: Diverse Fields,NA
143,CCBASIC,,factor,school,NA,23,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,NA
144,CCBASIC,,factor,school,NA,24,Special Focus Four-Year: Faith-Related Institutions,NA
145,CCBASIC,,factor,school,NA,25,Special Focus Four-Year: Medical Schools & Centers,NA
146,CCBASIC,,factor,school,NA,26,Special Focus Four-Year: Other Health Professions Schools,NA
147,CCBASIC,,factor,school,NA,27,Special Focus Four-Year: Engineering Schools,NA
148,CCBASIC,,factor,school,NA,28,Special Focus Four-Year: Other Technology-Related Schools,NA
149,CCBASIC,,factor,school,NA,29,Special Focus Four-Year: Business & Management Schools,NA
150,CCBASIC,,factor,school,NA,30,"Special Focus Four-Year: Arts, Music & Design Schools",NA
151,CCBASIC,,factor,school,NA,31,Special Focus Four-Year: Law Schools,NA
152,CCBASIC,,factor,school,NA,32,Special Focus Four-Year: Other Special Focus Institutions,NA
153,CCBASIC,,factor,school,NA,33,Tribal Colleges,NA
154,CCUGPROF,CCUGPROF,factor,school,NA,-2,Not applicable,carnegie_undergrad
155,CCUGPROF,,factor,school,NA,0,Not classified (Exclusively Graduate),NA
156,CCUGPROF,,factor,school,NA,1,"Two-year, higher part-time",NA
157,CCUGPROF,,factor,school,NA,2,"Two-year, mixed part/full-time",NA
158,CCUGPROF,,factor,school,NA,3,"Two-year, medium full-time",NA
159,CCUGPROF,,factor,school,NA,4,"Two-year, higher full-time",NA
160,CCUGPROF,,factor,school,NA,5,"Four-year, higher part-time",NA
161,CCUGPROF,,factor,school,NA,6,"Four-year, medium full-time, inclusive, lower transfer-in",NA
162,CCUGPROF,,factor,school,NA,7,"Four-year, medium full-time, inclusive, higher transfer-in",NA
163,CCUGPROF,,factor,school,NA,8,"Four-year, medium full-time, selective, lower transfer-in",NA
164,CCUGPROF,,factor,school,NA,9,"Four-year, medium full-time , selective, higher transfer-in",NA
165,CCUGPROF,,factor,school,NA,10,"Four-year, full-time, inclusive, lower transfer-in",NA
166,CCUGPROF,,factor,school,NA,11,"Four-year, full-time, inclusive, higher transfer-in",NA
167,CCUGPROF,,factor,school,NA,12,"Four-year, full-time, selective, lower transfer-in",NA
168,CCUGPROF,,factor,school,NA,13,"Four-year, full-time, selective, higher transfer-in",NA
169,CCUGPROF,,factor,school,NA,14,"Four-year, full-time, more selective, lower transfer-in",NA
170,CCUGPROF,,factor,school,NA,15,"Four-year, full-time, more selective, higher transfer-in",NA
171,CCSIZSET,CCSIZSET,factor,school,NA,-2,Not applicable,carnegie_size_setting
172,CCSIZSET,,factor,school,NA,0,(Not classified),NA
173,CCSIZSET,,factor,school,NA,1,"Two-year, very small",NA
174,CCSIZSET,,factor,school,NA,2,"Two-year, small",NA
175,CCSIZSET,,factor,school,NA,3,"Two-year, medium",NA
176,CCSIZSET,,factor,school,NA,4,"Two-year, large",NA
177,CCSIZSET,,factor,school,NA,5,"Two-year, very large",NA
178,CCSIZSET,,factor,school,NA,6,"Four-year, very small, primarily nonresidential",NA
179,CCSIZSET,,factor,school,NA,7,"Four-year, very small, primarily residential",NA
180,CCSIZSET,,factor,school,NA,8,"Four-year, very small, highly residential",NA
181,CCSIZSET,,factor,school,NA,9,"Four-year, small, primarily nonresidential",NA
182,CCSIZSET,,factor,school,NA,10,"Four-year, small, primarily residential",NA
183,CCSIZSET,,factor,school,NA,11,"Four-year, small, highly residential",NA
184,CCSIZSET,,factor,school,NA,12,"Four-year, medium, primarily nonresidential",NA
185,CCSIZSET,,factor,school,NA,13,"Four-year, medium, primarily residential",NA
186,CCSIZSET,,factor,school,NA,14,"Four-year, medium, highly residential",NA
187,CCSIZSET,,factor,school,NA,15,"Four-year, large, primarily nonresidential",NA
188,CCSIZSET,,factor,school,NA,16,"Four-year, large, primarily residential",NA
189,CCSIZSET,,factor,school,NA,17,"Four-year, large, highly residential",NA
190,CCSIZSET,,factor,school,NA,18,Exclusively graduate/professional,NA
191,HBCU,HBCU,factor,school,NA,0,No,minority_serving.historically_black
192,HBCU,,factor,school,NA,1,Yes,NA
193,PBI,PBI,factor,school,NA,0,No,minority_serving.predominantly_black
194,PBI,,factor,school,NA,1,Yes,NA
195,ANNHI,ANNHI,factor,school,NA,0,No,minority_serving.annh
196,ANNHI,,factor,school,NA,1,Yes,NA
197,TRIBAL,TRIBAL,factor,school,NA,0,No,minority_serving.tribal
198,TRIBAL,,factor,school,NA,1,Yes,NA
199,AANAPII,AANAPII,factor,school,NA,0,No,minority_serving.aanipi
200,AANAPII,,factor,school,NA,1,Yes,NA
201,HSI,HSI,factor,school,NA,0,No,minority_serving.hispanic
202,HSI,,factor,school,NA,1,Yes,NA
203,NANTI,NANTI,factor,school,NA,0,No,minority_serving.nant
204,NANTI,,factor,school,NA,1,Yes,NA
205,MENONLY,MENONLY,factor,school,NA,0,No,men_only
206,MENONLY,,factor,school,NA,1,Yes,NA
207,WOMENONLY,WOMENONLY,factor,school,NA,0,No,women_only
208,WOMENONLY,,factor,school,NA,1,Yes,NA
209,RELAFFIL,RELAFFIL,factor,school,NA,-1,Not reported,religious_affiliation
210,RELAFFIL,,factor,school,NA,-2,Not applicable,NA
211,RELAFFIL,,factor,school,NA,22,American Evangelical Lutheran Church,NA
212,RELAFFIL,,factor,school,NA,24,African Methodist Episcopal Zion Church,NA
213,RELAFFIL,,factor,school,NA,27,Assemblies of God Church,NA
214,RELAFFIL,,factor,school,NA,28,Brethren Church,NA
215,RELAFFIL,,factor,school,NA,30,Roman Catholic,NA
216,RELAFFIL,,factor,school,NA,33,Wisconsin Evangelical Lutheran Synod,NA
217,RELAFFIL,,factor,school,NA,34,Christ and Missionary Alliance Church,NA
218,RELAFFIL,,factor,school,NA,35,Christian Reformed Church,NA
219,RELAFFIL,,factor,school,NA,36,Evangelical Congregational Church,NA
220,RELAFFIL,,factor,school,NA,37,Evangelical Covenant Church of America,NA
221,RELAFFIL,,factor,school,NA,38,Evangelical Free Church of America,NA
222,RELAFFIL,,factor,school,NA,39,Evangelical Lutheran Church,NA
223,RELAFFIL,,factor,school,NA,40,International United Pentecostal Church,NA
224,RELAFFIL,,factor,school,NA,41,Free Will Baptist Church,NA
225,RELAFFIL,,factor,school,NA,42,Interdenominational,NA
226,RELAFFIL,,factor,school,NA,43,Mennonite Brethren Church,NA
227,RELAFFIL,,factor,school,NA,44,Moravian Church,NA
228,RELAFFIL,,factor,school,NA,45,North American Baptist,NA
229,RELAFFIL,,factor,school,NA,47,Pentecostal Holiness Church,NA
230,RELAFFIL,,factor,school,NA,48,Christian Churches and Churches of Christ,NA
231,RELAFFIL,,factor,school,NA,49,Reformed Church in America,NA
232,RELAFFIL,,factor,school,NA,50,"Episcopal Church, Reformed",NA
233,RELAFFIL,,factor,school,NA,51,African Methodist Episcopal,NA
234,RELAFFIL,,factor,school,NA,52,American Baptist,NA
235,RELAFFIL,,factor,school,NA,53,American Lutheran,NA
236,RELAFFIL,,factor,school,NA,54,Baptist,NA
237,RELAFFIL,,factor,school,NA,55,Christian Methodist Episcopal,NA
238,RELAFFIL,,factor,school,NA,57,Church of God,NA
239,RELAFFIL,,factor,school,NA,58,Church of Brethren,NA
240,RELAFFIL,,factor,school,NA,59,Church of the Nazarene,NA
241,RELAFFIL,,factor,school,NA,60,Cumberland Presbyterian,NA
242,RELAFFIL,,factor,school,NA,61,Christian Church (Disciples of Christ),NA
243,RELAFFIL,,factor,school,NA,64,Free Methodist,NA
244,RELAFFIL,,factor,school,NA,65,Friends,NA
245,RELAFFIL,,factor,school,NA,66,Presbyterian Church (USA),NA
246,RELAFFIL,,factor,school,NA,67,Lutheran Church in America,NA
247,RELAFFIL,,factor,school,NA,68,Lutheran Church - Missouri Synod,NA
248,RELAFFIL,,factor,school,NA,69,Mennonite Church,NA
249,RELAFFIL,,factor,school,NA,71,United Methodist,NA
250,RELAFFIL,,factor,school,NA,73,Protestant Episcopal,NA
251,RELAFFIL,,factor,school,NA,74,Churches of Christ,NA
252,RELAFFIL,,factor,school,NA,75,Southern Baptist,NA
253,RELAFFIL,,factor,school,NA,76,United Church of Christ,NA
254,RELAFFIL,,factor,school,NA,77,"Protestant, not specified",NA
255,RELAFFIL,,factor,school,NA,78,Multiple Protestant Denomination,NA
256,RELAFFIL,,factor,school,NA,79,Other Protestant,NA
257,RELAFFIL,,factor,school,NA,80,Jewish,NA
258,RELAFFIL,,factor,school,NA,81,Reformed Presbyterian Church,NA
259,RELAFFIL,,factor,school,NA,84,United Brethren Church,NA
260,RELAFFIL,,factor,school,NA,87,Missionary Church Inc,NA
261,RELAFFIL,,factor,school,NA,88,Undenominational,NA
262,RELAFFIL,,factor,school,NA,89,Wesleyan,NA
263,RELAFFIL,,factor,school,NA,91,Greek Orthodox,NA
264,RELAFFIL,,factor,school,NA,92,Russian Orthodox,NA
265,RELAFFIL,,factor,school,NA,93,Unitarian Universalist,NA
266,RELAFFIL,,factor,school,NA,94,Latter Day Saints (Mormon Church),NA
267,RELAFFIL,,factor,school,NA,95,Seventh Day Adventists,NA
268,RELAFFIL,,factor,school,NA,97,The Presbyterian Church in America,NA
269,RELAFFIL,,factor,school,NA,99,Other (none of the above),NA
270,RELAFFIL,,factor,school,NA,100,Original Free Will Baptist,NA
271,RELAFFIL,,factor,school,NA,101,Ecumenical Christian,NA
272,RELAFFIL,,factor,school,NA,102,Evangelical Christian,NA
273,RELAFFIL,,factor,school,NA,103,Presbyterian,NA
274,RELAFFIL,,factor,school,NA,105,General Baptist,NA
275,RELAFFIL,,factor,school,NA,106,Muslim,NA
276,RELAFFIL,,factor,school,NA,107,Plymouth Brethren,NA
277,ADM_RATE,ADM_RATE,num,admissions,NA,NA,NA,admission_rate.overall
278,ADM_RATE_ALL,ADM_RATE_ALL,num,admissions,NA,NA,NA,admission_rate.by_ope_id
279,SATVR25,SATVR25,num,admissions,NA,NA,NA,sat_scores.25th_percentile.critical_reading
280,SATVR75,SATVR75,num,admissions,NA,NA,NA,sat_scores.75th_percentile.critical_reading
281,SATMT25,SATMT25,num,admissions,NA,NA,NA,sat_scores.25th_percentile.math
282,SATMT75,SATMT75,num,admissions,NA,NA,NA,sat_scores.75th_percentile.math
283,SATVRMID,SATVRMID,num,admissions,NA,NA,NA,sat_scores.midpoint.critical_reading
284,SATMTMID,SATMTMID,num,admissions,NA,NA,NA,sat_scores.midpoint.math
285,ACTCM25,ACTCM25,num,admissions,NA,NA,NA,act_scores.25th_percentile.cumulative
286,ACTCM75,ACTCM75,num,admissions,NA,NA,NA,act_scores.75th_percentile.cumulative
287,ACTEN25,ACTEN25,num,admissions,NA,NA,NA,act_scores.25th_percentile.english
288,ACTEN75,ACTEN75,num,admissions,NA,NA,NA,act_scores.75th_percentile.english
289,ACTMT25,ACTMT25,num,admissions,NA,NA,NA,act_scores.25th_percentile.math
290,ACTMT75,ACTMT75,num,admissions,NA,NA,NA,act_scores.75th_percentile.math
291,ACTCMMID,ACTCMMID,num,admissions,NA,NA,NA,act_scores.midpoint.cumulative
292,ACTENMID,ACTENMID,num,admissions,NA,NA,NA,act_scores.midpoint.english
293,ACTMTMID,ACTMTMID,num,admissions,NA,NA,NA,act_scores.midpoint.math
294,SAT_AVG,SAT_AVG,num,admissions,NA,NA,NA,sat_scores.average.overall
295,SAT_AVG_ALL,SAT_AVG_ALL,num,admissions,NA,NA,NA,sat_scores.average.by_ope_id
296,PCIP01,PCIP01,num,academics,1,NA,"Agriculture, Agriculture Operations, and Related Sciences",program_percentage.agriculture
297,PCIP03,PCIP03,num,academics,3,NA,Natural Resources and Conservation,program_percentage.resources
298,PCIP04,PCIP04,num,academics,4,NA,Architecture and Related Services,program_percentage.architecture
299,PCIP05,PCIP05,num,academics,5,NA,"Area, Ethnic, Cultural, Gender, and Group Studies",program_percentage.ethnic_cultural_gender
300,PCIP09,PCIP09,num,academics,9,NA,"Communication, Journalism, and Related Programs",program_percentage.communication
301,PCIP10,PCIP10,num,academics,10,NA,Communications Technologies/Technicians and Support Services,program_percentage.communications_technology
302,PCIP11,PCIP11,num,academics,11,NA,Computer and Information Sciences and Support Services,program_percentage.computer
303,PCIP12,PCIP12,num,academics,12,NA,Personal and Culinary Services,program_percentage.personal_culinary
304,PCIP13,PCIP13,num,academics,13,NA,Education,program_percentage.education
305,PCIP14,PCIP14,num,academics,14,NA,Engineering,program_percentage.engineering
306,PCIP15,PCIP15,num,academics,15,NA,Engineering Technologies and Engineering-Related Fields,program_percentage.engineering_technology
307,PCIP16,PCIP16,num,academics,16,NA,"Foreign Languages, Literatures, and Linguistics",program_percentage.language
308,PCIP19,PCIP19,num,academics,19,NA,Family and Consumer Sciences/Human Sciences,program_percentage.family_consumer_science
309,PCIP22,PCIP22,num,academics,22,NA,Legal Professions and Studies,program_percentage.legal
310,PCIP23,PCIP23,num,academics,23,NA,English Language and Literature/Letters,program_percentage.english
311,PCIP24,PCIP24,num,academics,24,NA,"Liberal Arts and Sciences, General Studies and Humanities",program_percentage.humanities
312,PCIP25,PCIP25,num,academics,25,NA,Library Science,program_percentage.library
313,PCIP26,PCIP26,num,academics,26,NA,Biological and Biomedical Sciences,program_percentage.biological
314,PCIP27,PCIP27,num,academics,27,NA,Mathematics and Statistics,program_percentage.mathematics
315,PCIP29,PCIP29,num,academics,29,NA,Military Technologies and Applied Sciences,program_percentage.military
316,PCIP30,PCIP30,num,academics,30,NA,Multi/Interdisciplinary Studies,program_percentage.multidiscipline
317,PCIP31,PCIP31,num,academics,31,NA,"Parks, Recreation, Leisure, and Fitness Studies",program_percentage.parks_recreation_fitness
318,PCIP38,PCIP38,num,academics,38,NA,Philosophy and Religious Studies,program_percentage.philosophy_religious
319,PCIP39,PCIP39,num,academics,39,NA,Theology and Religious Vocations,program_percentage.theology_religious_vocation
320,PCIP40,PCIP40,num,academics,40,NA,Physical Sciences,program_percentage.physical_science
321,PCIP41,PCIP41,num,academics,41,NA,Science Technologies/Technicians,program_percentage.science_technology
322,PCIP42,PCIP42,num,academics,42,NA,Psychology,program_percentage.psychology
323,PCIP43,PCIP43,num,academics,43,NA,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",program_percentage.security_law_enforcement
324,PCIP44,PCIP44,num,academics,44,NA,Public Administration and Social Service Professions,program_percentage.public_administration_social_service
325,PCIP45,PCIP45,num,academics,45,NA,Social Sciences,program_percentage.social_science
326,PCIP46,PCIP46,num,academics,46,NA,Construction Trades,program_percentage.construction
327,PCIP47,PCIP47,num,academics,47,NA,Mechanic and Repair Technologies/Technicians,program_percentage.mechanic_repair_technology
328,PCIP48,PCIP48,num,academics,48,NA,Precision Production,program_percentage.precision_production
329,PCIP49,PCIP49,num,academics,49,NA,Transportation and Materials Moving,program_percentage.transportation
330,PCIP50,PCIP50,num,academics,50,NA,Visual and Performing Arts,program_percentage.visual_performing
331,PCIP51,PCIP51,num,academics,51,NA,Health Professions and Related Programs,program_percentage.health
332,PCIP52,PCIP52,num,academics,52,NA,"Business, Management, Marketing, and Related Support Services",program_percentage.business_marketing
333,PCIP54,PCIP54,num,academics,54,NA,History,program_percentage.history
334,CIP01CERT1,CIP01CERT1,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_1_yr.agriculture
335,CIP01CERT2,CIP01CERT2,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_2_yr.agriculture
336,CIP01ASSOC,CIP01ASSOC,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.assoc.agriculture
337,CIP01CERT4,CIP01CERT4,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_4_yr.agriculture
338,CIP01BACHL,CIP01BACHL,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.bachelors.agriculture
339,CIP03CERT1,CIP03CERT1,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_1_yr.resources
340,CIP03CERT2,CIP03CERT2,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_2_yr.resources
341,CIP03ASSOC,CIP03ASSOC,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.assoc.resources
342,CIP03CERT4,CIP03CERT4,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_4_yr.resources
343,CIP03BACHL,CIP03BACHL,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.bachelors.resources
344,CIP04CERT1,CIP04CERT1,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_1_yr.architecture
345,CIP04CERT2,CIP04CERT2,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_2_yr.architecture
346,CIP04ASSOC,CIP04ASSOC,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.assoc.architecture
347,CIP04CERT4,CIP04CERT4,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_4_yr.architecture
348,CIP04BACHL,CIP04BACHL,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.bachelors.architecture
349,CIP05CERT1,CIP05CERT1,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_1_yr.ethnic_cultural_gender
350,CIP05CERT2,CIP05CERT2,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_2_yr.ethnic_cultural_gender
351,CIP05ASSOC,CIP05ASSOC,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.assoc.ethnic_cultural_gender
352,CIP05CERT4,CIP05CERT4,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_4_yr.ethnic_cultural_gender
353,CIP05BACHL,CIP05BACHL,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.bachelors.ethnic_cultural_gender
354,CIP09CERT1,CIP09CERT1,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_1_yr.communication
355,CIP09CERT2,CIP09CERT2,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_2_yr.communication
356,CIP09ASSOC,CIP09ASSOC,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.assoc.communication
357,CIP09CERT4,CIP09CERT4,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_4_yr.communication
358,CIP09BACHL,CIP09BACHL,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.bachelors.communication
359,CIP10CERT1,CIP10CERT1,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_1_yr.communications_technology
360,CIP10CERT2,CIP10CERT2,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_2_yr.communications_technology
361,CIP10ASSOC,CIP10ASSOC,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.assoc.communications_technology
362,CIP10CERT4,CIP10CERT4,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_4_yr.communications_technology
363,CIP10BACHL,CIP10BACHL,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.bachelors.communications_technology
364,CIP11CERT1,CIP11CERT1,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_1_yr.computer
365,CIP11CERT2,CIP11CERT2,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_2_yr.computer
366,CIP11ASSOC,CIP11ASSOC,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.assoc.computer
367,CIP11CERT4,CIP11CERT4,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_4_yr.computer
368,CIP11BACHL,CIP11BACHL,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.bachelors.computer
369,CIP12CERT1,CIP12CERT1,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_1_yr.personal_culinary
370,CIP12CERT2,CIP12CERT2,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_2_yr.personal_culinary
371,CIP12ASSOC,CIP12ASSOC,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.assoc.personal_culinary
372,CIP12CERT4,CIP12CERT4,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_4_yr.personal_culinary
373,CIP12BACHL,CIP12BACHL,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.bachelors.personal_culinary
374,CIP13CERT1,CIP13CERT1,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_1_yr.education
375,CIP13CERT2,CIP13CERT2,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_2_yr.education
376,CIP13ASSOC,CIP13ASSOC,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.assoc.education
377,CIP13CERT4,CIP13CERT4,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_4_yr.education
378,CIP13BACHL,CIP13BACHL,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.bachelors.education
379,CIP14CERT1,CIP14CERT1,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_1_yr.engineering
380,CIP14CERT2,CIP14CERT2,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_2_yr.engineering
381,CIP14ASSOC,CIP14ASSOC,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.assoc.engineering
382,CIP14CERT4,CIP14CERT4,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_4_yr.engineering
383,CIP14BACHL,CIP14BACHL,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.bachelors.engineering
384,CIP15CERT1,CIP15CERT1,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_1_yr.engineering_technology
385,CIP15CERT2,CIP15CERT2,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_2_yr.engineering_technology
386,CIP15ASSOC,CIP15ASSOC,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.assoc.engineering_technology
387,CIP15CERT4,CIP15CERT4,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_4_yr.engineering_technology
388,CIP15BACHL,CIP15BACHL,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.bachelors.engineering_technology
389,CIP16CERT1,CIP16CERT1,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_1_yr.language
390,CIP16CERT2,CIP16CERT2,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_2_yr.language
391,CIP16ASSOC,CIP16ASSOC,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.assoc.language
392,CIP16CERT4,CIP16CERT4,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.certificate_lt_4_yr.language
393,CIP16BACHL,CIP16BACHL,factor,academics,NA,"0, 1, 2","Program not offered, Program offered, Program offered through an exclusively distance-education program",program.bachelors.language
